pointNum,X_target,Y_target,X_real,Y_real
0,0,0,-396.708,191.129
1,16,0,-380.704,191.147
2,32,0,-364.703,191.165
3,48,0,-348.701,191.182
4,64,0,-332.7,191.198
5,80,0,-316.702,191.214
6,96,0,-300.701,191.23
7,112,0,-284.7,191.246
8,128,0,-268.7,191.261
9,144,0,-252.7,191.277
10,160,0,-236.7,191.293
11,176,0,-220.702,191.31
12,192,0,-204.702,191.327
13,208,0,-188.703,191.342
14,0,-16,-396.7,175.136
15,16,-16,-380.695,175.154
16,32,-16,-364.692,175.172
17,48,-16,-348.691,175.189
18,64,-16,-332.691,175.204
19,80,-16,-316.69,175.221
20,96,-16,-300.692,175.238
21,112,-16,-284.69,175.255
22,128,-16,-268.689,175.273
23,144,-16,-252.69,175.289
24,160,-16,-236.689,175.306
25,176,-16,-220.69,175.324
26,192,-16,-204.69,175.341
27,208,-16,-188.691,175.357
28,0,-32,-396.691,159.14
29,16,-32,-380.685,159.159
30,32,-32,-364.683,159.178
31,48,-32,-348.682,159.196
32,64,-32,-332.68,159.213
33,80,-32,-316.681,159.232
34,96,-32,-300.683,159.25
35,112,-32,-284.682,159.266
36,128,-32,-268.682,159.283
37,144,-32,-252.68,159.299
38,160,-32,-236.681,159.318
39,176,-32,-220.681,159.335
40,192,-32,-204.682,159.352
41,208,-32,-188.682,159.369
42,0,-48,-396.682,143.144
43,16,-48,-380.677,143.162
44,32,-48,-364.675,143.183
45,48,-48,-348.674,143.201
46,64,-48,-332.672,143.219
47,80,-48,-316.673,143.236
48,96,-48,-300.674,143.255
49,112,-48,-284.672,143.274
50,128,-48,-268.673,143.291
51,144,-48,-252.671,143.308
52,160,-48,-236.671,143.326
53,176,-48,-220.673,143.344
54,192,-48,-204.672,143.362
55,208,-48,-188.674,143.38
56,0,-64,-396.675,127.146
57,16,-64,-380.67,127.165
58,32,-64,-364.671,127.186
59,48,-64,-348.669,127.203
60,64,-64,-332.665,127.222
61,80,-64,-316.667,127.24
62,96,-64,-300.667,127.259
63,112,-64,-284.664,127.278
64,128,-64,-268.663,127.295
65,144,-64,-252.664,127.313
66,160,-64,-236.664,127.332
67,176,-64,-220.665,127.349
68,192,-64,-204.666,127.368
69,208,-64,-188.666,127.387
70,0,-80,-396.667,111.146
71,16,-80,-380.664,111.166
72,32,-80,-364.664,111.185
73,48,-80,-348.662,111.203
74,64,-80,-332.661,111.223
75,80,-80,-316.66,111.241
76,96,-80,-300.661,111.259
77,112,-80,-284.659,111.279
78,128,-80,-268.657,111.295
79,144,-80,-252.657,111.315
80,160,-80,-236.658,111.334
81,176,-80,-220.66,111.352
82,192,-80,-204.66,111.371
83,208,-80,-188.661,111.389
84,0,-96,-396.664,95.1445
85,16,-96,-380.661,95.164
86,32,-96,-364.661,95.1837
87,48,-96,-348.658,95.2009
88,64,-96,-332.659,95.2187
89,80,-96,-316.66,95.238
90,96,-96,-300.658,95.2578
91,112,-96,-284.656,95.2769
92,128,-96,-268.655,95.2959
93,144,-96,-252.655,95.3129
94,160,-96,-236.654,95.3331
95,176,-96,-220.655,95.3502
96,192,-96,-204.655,95.3693
97,208,-96,-188.658,95.3876
98,0,-112,-396.666,79.141
99,16,-112,-380.661,79.1598
100,32,-112,-364.659,79.1801
101,48,-112,-348.658,79.1984
102,64,-112,-332.659,79.2163
103,80,-112,-316.658,79.2341
104,96,-112,-300.66,79.2518
105,112,-112,-284.656,79.2727
106,128,-112,-268.654,79.2911
107,144,-112,-252.653,79.309
108,160,-112,-236.652,79.3298
109,176,-112,-220.654,79.3473
110,192,-112,-204.654,79.3652
111,208,-112,-188.656,79.3833
112,0,-128,-396.666,63.1379
113,16,-128,-380.661,63.156
114,32,-128,-364.661,63.1752
115,48,-128,-348.662,63.1918
116,64,-128,-332.661,63.21
117,80,-128,-316.66,63.2289
118,96,-128,-300.66,63.2451
119,112,-128,-284.659,63.2634
120,128,-128,-268.657,63.2814
121,144,-128,-252.656,63.3021
122,160,-128,-236.653,63.3204
123,176,-128,-220.655,63.3394
124,192,-128,-204.656,63.3579
125,208,-128,-188.657,63.3767
126,0,-144,-396.67,47.133
127,16,-144,-380.667,47.1499
128,32,-144,-364.665,47.1682
129,48,-144,-348.666,47.1852
130,64,-144,-332.666,47.2021
131,80,-144,-316.665,47.2197
132,96,-144,-300.667,47.2383
133,112,-144,-284.663,47.2547
134,128,-144,-268.665,47.2712
135,144,-144,-252.662,47.2896
136,160,-144,-236.663,47.3091
137,176,-144,-220.66,47.3311
138,192,-144,-204.661,47.3445
139,208,-144,-188.66,47.3639
140,0,-160,-396.67,31.1289
141,16,-160,-380.671,31.1451
142,32,-160,-364.67,31.1631
143,48,-160,-348.67,31.18
144,64,-160,-332.667,31.1977
145,80,-160,-316.666,31.2141
146,96,-160,-300.671,31.232
147,112,-160,-284.667,31.2489
148,128,-160,-268.666,31.2651
149,144,-160,-252.666,31.2823
150,160,-160,-236.663,31.3001
151,176,-160,-220.664,31.3178
152,192,-160,-204.663,31.3361
153,208,-160,-188.663,31.3553
