pointNum,X_target,Y_target,X_real,Y_real
0,0,0,-187.637,351.181
1,16,0,-171.635,351.234
2,32,0,-155.635,351.282
3,48,0,-139.636,351.33
4,64,0,-123.636,351.377
5,80,0,-107.631,351.425
6,96,0,-91.6269,351.474
7,112,0,-75.6229,351.523
8,128,0,-59.6179,351.572
9,144,0,-43.6081,351.623
10,160,0,-27.5994,351.672
11,176,0,-11.5926,351.723
12,192,0,4.41448,351.772
13,208,0,20.4252,351.823
14,0,-16,-187.583,335.206
15,16,-16,-171.584,335.256
16,32,-16,-155.581,335.31
17,48,-16,-139.581,335.359
18,64,-16,-123.581,335.407
19,80,-16,-107.578,335.458
20,96,-16,-91.5718,335.51
21,112,-16,-75.5671,335.559
22,128,-16,-59.5618,335.609
23,144,-16,-43.5547,335.658
24,160,-16,-27.5461,335.71
25,176,-16,-11.5375,335.761
26,192,-16,4.47092,335.813
27,208,-16,20.4792,335.863
28,0,-32,-187.525,319.239
29,16,-32,-171.527,319.29
30,32,-32,-155.527,319.339
31,48,-32,-139.525,319.393
32,64,-32,-123.522,319.447
33,80,-32,-107.52,319.497
34,96,-32,-91.5154,319.548
35,112,-32,-75.5106,319.599
36,128,-32,-59.5041,319.652
37,144,-32,-43.4968,319.702
38,160,-32,-27.4898,319.753
39,176,-32,-11.4828,319.805
40,192,-32,4.52616,319.859
41,208,-32,20.5364,319.912
42,0,-48,-187.466,303.277
43,16,-48,-171.468,303.328
44,32,-48,-155.468,303.378
45,48,-48,-139.467,303.43
46,64,-48,-123.466,303.482
47,80,-48,-107.462,303.539
48,96,-48,-91.4561,303.592
49,112,-48,-75.4508,303.644
50,128,-48,-59.4455,303.697
51,144,-48,-43.4379,303.749
52,160,-48,-27.4302,303.804
53,176,-48,-11.4223,303.857
54,192,-48,4.5861,303.911
55,208,-48,20.5959,303.965
56,0,-64,-187.404,287.314
57,16,-64,-171.405,287.368
58,32,-64,-155.405,287.419
59,48,-64,-139.406,287.47
60,64,-64,-123.406,287.523
61,80,-64,-107.402,287.578
62,96,-64,-91.3944,287.637
63,112,-64,-75.389,287.692
64,128,-64,-59.3843,287.745
65,144,-64,-43.3771,287.8
66,160,-64,-27.3698,287.853
67,176,-64,-11.3607,287.909
68,192,-64,4.64531,287.962
69,208,-64,20.6557,288.019
70,0,-80,-187.342,271.352
71,16,-80,-171.342,271.406
72,32,-80,-155.341,271.462
73,48,-80,-139.343,271.514
74,64,-80,-123.341,271.57
75,80,-80,-107.339,271.622
76,96,-80,-91.3333,271.68
77,112,-80,-75.3275,271.738
78,128,-80,-59.3207,271.796
79,144,-80,-43.3132,271.852
80,160,-80,-27.3062,271.907
81,176,-80,-11.2977,271.965
82,192,-80,4.7094,272.021
83,208,-80,20.7183,272.078
84,0,-96,-187.276,255.393
85,16,-96,-171.276,255.449
86,32,-96,-155.277,255.504
87,48,-96,-139.276,255.561
88,64,-96,-123.276,255.617
89,80,-96,-107.273,255.672
90,96,-96,-91.2681,255.729
91,112,-96,-75.2628,255.787
92,128,-96,-59.2556,255.848
93,144,-96,-43.2467,255.907
94,160,-96,-27.2407,255.964
95,176,-96,-11.2317,256.023
96,192,-96,4.77564,256.081
97,208,-96,20.7846,256.14
98,0,-112,-187.215,239.428
99,16,-112,-171.213,239.486
100,32,-112,-155.212,239.544
101,48,-112,-139.213,239.601
102,64,-112,-123.21,239.66
103,80,-112,-107.208,239.717
104,96,-112,-91.2036,239.775
105,112,-112,-75.1978,239.834
106,128,-112,-59.1922,239.894
107,144,-112,-43.1844,239.955
108,160,-112,-27.1749,240.017
109,176,-112,-11.1657,240.078
110,192,-112,4.84089,240.136
111,208,-112,20.8503,240.196
112,0,-128,-187.151,223.463
113,16,-128,-171.148,223.523
114,32,-128,-155.148,223.582
115,48,-128,-139.148,223.64
116,64,-128,-123.147,223.7
117,80,-128,-107.142,223.761
118,96,-128,-91.1391,223.819
119,112,-128,-75.1351,223.879
120,128,-128,-59.1288,223.94
121,144,-128,-43.1225,223.998
122,160,-128,-27.1124,224.061
123,176,-128,-11.1032,224.126
124,192,-128,4.90447,224.187
125,208,-128,20.9116,224.247
126,0,-144,-187.09,207.493
127,16,-144,-171.088,207.554
128,32,-144,-155.089,207.612
129,48,-144,-139.087,207.673
130,64,-144,-123.087,207.731
131,80,-144,-107.084,207.793
132,96,-144,-91.079,207.854
133,112,-144,-75.0744,207.916
134,128,-144,-59.0697,207.975
135,144,-144,-43.0614,208.037
136,160,-144,-27.0545,208.097
137,176,-144,-11.0454,208.163
138,192,-144,4.96299,208.228
139,208,-144,20.9725,208.291
140,0,-160,-187.033,191.515
141,16,-160,-171.031,191.577
142,32,-160,-155.031,191.638
143,48,-160,-139.031,191.699
144,64,-160,-123.029,191.761
145,80,-160,-107.027,191.82
146,96,-160,-91.0208,191.882
147,112,-160,-75.0143,191.944
148,128,-160,-59.0102,192.004
149,144,-160,-43.0032,192.067
150,160,-160,-26.9965,192.127
151,176,-160,-10.989,192.19
152,192,-160,5.02053,192.255
153,208,-160,21.0306,192.325
