pointNum,X_target,Y_target,X_real,Y_real
0,0,0,-396.957,351.442
1,16,0,-380.951,351.442
2,32,0,-364.951,351.442
3,48,0,-348.951,351.441
4,64,0,-332.952,351.438
5,80,0,-316.952,351.438
6,96,0,-300.953,351.436
7,112,0,-284.953,351.434
8,128,0,-268.953,351.432
9,144,0,-252.951,351.431
10,160,0,-236.952,351.43
11,176,0,-220.952,351.431
12,192,0,-204.953,351.429
13,208,0,-188.953,351.427
14,0,-16,-396.955,335.454
15,16,-16,-380.947,335.457
16,32,-16,-364.944,335.457
17,48,-16,-348.945,335.456
18,64,-16,-332.946,335.455
19,80,-16,-316.947,335.455
20,96,-16,-300.948,335.457
21,112,-16,-284.946,335.454
22,128,-16,-268.948,335.452
23,144,-16,-252.946,335.452
24,160,-16,-236.945,335.453
25,176,-16,-220.946,335.453
26,192,-16,-204.947,335.453
27,208,-16,-188.947,335.454
28,0,-32,-396.944,319.471
29,16,-32,-380.938,319.472
30,32,-32,-364.936,319.474
31,48,-32,-348.934,319.477
32,64,-32,-332.936,319.478
33,80,-32,-316.937,319.478
34,96,-32,-300.939,319.479
35,112,-32,-284.937,319.479
36,128,-32,-268.936,319.48
37,144,-32,-252.934,319.482
38,160,-32,-236.935,319.482
39,176,-32,-220.937,319.483
40,192,-32,-204.937,319.485
41,208,-32,-188.936,319.487
42,0,-48,-396.934,303.489
43,16,-48,-380.928,303.491
44,32,-48,-364.928,303.495
45,48,-48,-348.925,303.498
46,64,-48,-332.923,303.499
47,80,-48,-316.925,303.501
48,96,-48,-300.927,303.504
49,112,-48,-284.924,303.506
50,128,-48,-268.924,303.509
51,144,-48,-252.923,303.511
52,160,-48,-236.923,303.515
53,176,-48,-220.924,303.517
54,192,-48,-204.923,303.52
55,208,-48,-188.923,303.524
56,0,-64,-396.92,287.506
57,16,-64,-380.914,287.512
58,32,-64,-364.912,287.517
59,48,-64,-348.912,287.519
60,64,-64,-332.912,287.522
61,80,-64,-316.91,287.527
62,96,-64,-300.91,287.531
63,112,-64,-284.911,287.536
64,128,-64,-268.91,287.538
65,144,-64,-252.909,287.542
66,160,-64,-236.909,287.546
67,176,-64,-220.909,287.553
68,192,-64,-204.909,287.557
69,208,-64,-188.91,287.562
70,0,-80,-396.904,271.524
71,16,-80,-380.899,271.531
72,32,-80,-364.897,271.539
73,48,-80,-348.896,271.544
74,64,-80,-332.894,271.549
75,80,-80,-316.896,271.554
76,96,-80,-300.896,271.559
77,112,-80,-284.893,271.564
78,128,-80,-268.893,271.57
79,144,-80,-252.892,271.576
80,160,-80,-236.892,271.583
81,176,-80,-220.893,271.589
82,192,-80,-204.892,271.597
83,208,-80,-188.893,271.602
84,0,-96,-396.885,255.545
85,16,-96,-380.881,255.552
86,32,-96,-364.88,255.561
87,48,-96,-348.877,255.568
88,64,-96,-332.877,255.576
89,80,-96,-316.878,255.581
90,96,-96,-300.878,255.589
91,112,-96,-284.878,255.596
92,128,-96,-268.875,255.603
93,144,-96,-252.873,255.611
94,160,-96,-236.875,255.618
95,176,-96,-220.874,255.628
96,192,-96,-204.873,255.635
97,208,-96,-188.874,255.643
98,0,-112,-396.871,239.561
99,16,-112,-380.866,239.572
100,32,-112,-364.862,239.582
101,48,-112,-348.862,239.59
102,64,-112,-332.86,239.599
103,80,-112,-316.859,239.607
104,96,-112,-300.861,239.615
105,112,-112,-284.858,239.623
106,128,-112,-268.858,239.632
107,144,-112,-252.857,239.643
108,160,-112,-236.857,239.653
109,176,-112,-220.855,239.664
110,192,-112,-204.856,239.67
111,208,-112,-188.857,239.68
112,0,-128,-396.853,223.578
113,16,-128,-380.849,223.588
114,32,-128,-364.846,223.6
115,48,-128,-348.844,223.61
116,64,-128,-332.844,223.619
117,80,-128,-316.842,223.632
118,96,-128,-300.845,223.64
119,112,-128,-284.844,223.65
120,128,-128,-268.84,223.66
121,144,-128,-252.84,223.669
122,160,-128,-236.841,223.682
123,176,-128,-220.841,223.693
124,192,-128,-204.84,223.704
125,208,-128,-188.842,223.713
126,0,-144,-396.84,207.592
127,16,-144,-380.835,207.604
128,32,-144,-364.834,207.615
129,48,-144,-348.832,207.627
130,64,-144,-332.832,207.638
131,80,-144,-316.832,207.649
132,96,-144,-300.832,207.66
133,112,-144,-284.831,207.672
134,128,-144,-268.831,207.681
135,144,-144,-252.83,207.693
136,160,-144,-236.828,207.705
137,176,-144,-220.827,207.72
138,192,-144,-204.827,207.73
139,208,-144,-188.829,207.743
140,0,-160,-396.829,191.6
141,16,-160,-380.826,191.614
142,32,-160,-364.825,191.628
143,48,-160,-348.824,191.639
144,64,-160,-332.82,191.652
145,80,-160,-316.823,191.662
146,96,-160,-300.823,191.677
147,112,-160,-284.821,191.688
148,128,-160,-268.821,191.697
149,144,-160,-252.818,191.712
150,160,-160,-236.82,191.723
151,176,-160,-220.819,191.737
152,192,-160,-204.818,191.751
153,208,-160,-188.82,191.763
