pointNum,X_target,Y_target,X_real,Y_real
0,-185.249,205.182,-185.244,205.182
1,-169.235,205.182,-169.243,205.199
2,-153.231,205.182,-153.244,205.212
3,-137.223,205.182,-137.243,205.226
4,-121.218,205.181,-121.242,205.239
5,-105.21,205.181,-105.239,205.253
6,-89.205,205.181,-89.2343,205.267
7,-73.199,205.181,-73.2289,205.281
8,-57.19,205.181,-57.2225,205.295
9,-41.187,205.181,-41.2135,205.31
10,-25.177,205.182,-25.2064,205.325
11,-9.173,205.181,-9.19838,205.34
12,6.833,205.18,6.80975,205.355
13,-185.247,189.21,-185.235,189.202
14,-169.235,189.209,-169.234,189.215
15,-153.232,189.209,-153.233,189.234
16,-137.224,189.208,-137.233,189.246
17,-121.218,189.209,-121.231,189.261
18,-105.209,189.209,-105.229,189.276
19,-89.205,189.208,-89.2243,189.291
20,-73.2,189.208,-73.2186,189.307
21,-57.189,189.208,-57.2125,189.323
22,-41.186,189.208,-41.2039,189.337
23,-25.177,189.208,-25.1977,189.352
24,-9.174,189.208,-9.18998,189.369
25,6.834,189.208,6.81968,189.385
26,-185.249,173.235,-185.228,173.216
27,-169.235,173.235,-169.227,173.236
28,-153.231,173.235,-153.227,173.247
29,-137.222,173.234,-137.226,173.264
30,-121.218,173.233,-121.223,173.279
31,-105.209,173.232,-105.222,173.294
32,-89.205,173.232,-89.2168,173.31
33,-73.199,173.232,-73.2108,173.327
34,-57.189,173.232,-57.2055,173.341
35,-41.187,173.232,-41.1979,173.357
36,-25.177,173.232,-25.1906,173.374
37,-9.174,173.232,-9.18318,173.39
38,6.832,173.232,6.8253,173.406
39,-185.248,157.261,-185.226,157.227
40,-169.235,157.261,-169.223,157.242
41,-153.23,157.261,-153.221,157.262
42,-137.223,157.261,-137.219,157.276
43,-121.219,157.26,-121.217,157.292
44,-105.208,157.258,-105.214,157.309
45,-89.205,157.258,-89.21,157.324
46,-73.198,157.258,-73.2039,157.341
47,-57.19,157.258,-57.1991,157.357
48,-41.186,157.258,-41.1914,157.374
49,-25.177,157.258,-25.1841,157.39
50,-9.174,157.258,-9.17599,157.408
51,6.832,157.258,6.83209,157.424
52,-185.248,141.286,-185.22,141.236
53,-169.235,141.287,-169.22,141.253
54,-153.23,141.286,-153.216,141.269
55,-137.223,141.285,-137.216,141.288
56,-121.218,141.286,-121.212,141.304
57,-105.209,141.284,-105.209,141.322
58,-89.205,141.284,-89.2051,141.338
59,-73.199,141.283,-73.2001,141.355
60,-57.19,141.283,-57.1938,141.372
61,-41.186,141.283,-41.1861,141.388
62,-25.178,141.283,-25.1779,141.405
63,-9.174,141.283,-9.17191,141.422
64,6.834,141.283,6.83774,141.44
65,-185.248,125.312,-185.219,125.242
66,-169.234,125.313,-169.216,125.258
67,-153.23,125.313,-153.214,125.275
68,-137.223,125.312,-137.212,125.292
69,-121.219,125.312,-121.211,125.311
70,-105.209,125.312,-105.206,125.328
71,-89.204,125.31,-89.2018,125.344
72,-73.198,125.31,-73.197,125.363
73,-57.19,125.309,-57.1894,125.38
74,-41.186,125.309,-41.1823,125.397
75,-25.178,125.308,-25.1758,125.414
76,-9.174,125.308,-9.16758,125.433
77,6.834,125.308,6.83973,125.448
78,-185.248,109.336,-185.216,109.245
79,-169.235,109.338,-169.214,109.26
80,-153.23,109.338,-153.214,109.278
81,-137.222,109.338,-137.21,109.293
82,-121.218,109.337,-121.208,109.31
83,-105.209,109.337,-105.204,109.33
84,-89.204,109.337,-89.1989,109.347
85,-73.199,109.336,-73.1938,109.366
86,-57.19,109.335,-57.1883,109.383
87,-41.186,109.335,-41.1798,109.4
88,-25.178,109.335,-25.1736,109.417
89,-9.174,109.334,-9.16527,109.435
90,6.833,109.334,6.8422,109.453
91,-185.248,93.363,-185.217,93.2418
92,-169.234,93.364,-169.216,93.2582
93,-153.229,93.364,-153.215,93.2733
94,-137.223,93.364,-137.211,93.2899
95,-121.218,93.364,-121.21,93.306
96,-105.209,93.363,-105.206,93.3238
97,-89.204,93.363,-89.2,93.3429
98,-73.198,93.363,-73.194,93.3634
99,-57.189,93.363,-57.1881,93.3803
100,-41.186,93.361,-41.1803,93.3975
101,-25.177,93.36,-25.1729,93.4154
102,-9.174,93.36,-9.16543,93.4335
103,6.833,93.36,6.84433,93.4506
104,-185.248,77.387,-185.219,77.2369
105,-169.235,77.389,-169.217,77.2524
106,-153.229,77.389,-153.217,77.2679
107,-137.222,77.389,-137.217,77.2856
108,-121.218,77.389,-121.213,77.2995
109,-105.209,77.389,-105.209,77.3175
110,-89.204,77.388,-89.2021,77.3345
111,-73.198,77.388,-73.1978,77.3529
112,-57.19,77.388,-57.1897,77.3753
113,-41.186,77.388,-41.1817,77.3919
114,-25.177,77.387,-25.1747,77.4087
115,-9.174,77.386,-9.16661,77.4274
116,6.833,77.386,6.84299,77.4465
117,-185.248,61.413,-185.224,61.2298
118,-169.235,61.415,-169.222,61.2456
119,-153.23,61.415,-153.223,61.2598
120,-137.223,61.415,-137.221,61.2768
121,-121.218,61.415,-121.217,61.2919
122,-105.208,61.415,-105.213,61.3084
123,-89.204,61.415,-89.2095,61.3253
124,-73.198,61.415,-73.2021,61.3433
125,-57.19,61.415,-57.1969,61.36
126,-41.186,61.414,-41.1878,61.3757
127,-25.177,61.414,-25.1768,61.4
128,-9.174,61.414,-9.1711,61.4165
129,6.834,61.413,6.83776,61.4325
